Local Authority Asset Number,Street Name,Ward Name,Postcode,Description,Switch Regime,Wattage,Lamp Type,Column Type,Column Height,Heritage Status,Install Date,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Organisation URI,Last Uploaded
262964,,,,,,,,Belisha Beacon,,,2018 Feb 16 12:00:00 AM,,,,,,Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
21024,ABBEY ROAD,Kings Cross,WC1N 2AP,os 1111,35/18,,,Lighting Column,500,No,,"530,593","182,370",-0.118912,51.525155,POINT (-0.118912 51.525155),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
21026,ABBEY ROAD,Kings Cross,WC1N 2AP,OS 111112333,35/18,,,Lighting Column,600,No,,"530,623","182,350",-0.118487,51.524968,POINT (-0.118487 51.524968),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240447,ABBEY ROAD,Kilburn,NW8 0AG,O/S PUB,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,983","183,680",-0.184859,51.537974,POINT (-0.184859 51.537974),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240448,ABBEY ROAD,Kilburn,NW8 0HY,OPP HAVENPOOL FLATS,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,948","183,728",-0.185346,51.538413,POINT (-0.185346 51.538413),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240449,ABBEY ROAD,Kilburn,NW8 0BL,O/S 1 TO 12 TONEBOROUGH FLATS,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,921","183,738",-0.185732,51.538509,POINT (-0.185732 51.538509),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240450,ABBEY ROAD,Kilburn,NW8 0SR,S/O NO. 85,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,915","183,760",-0.185811,51.538708,POINT (-0.185811 51.538708),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240451,ABBEY ROAD,Kilburn,NW8 0BL,O/S MARY GREEN,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,893","183,764",-0.186126,51.538749,POINT (-0.186126 51.538749),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240452,ABBEY ROAD,Kilburn,NW8 0SR,J/W LANGTRY WALK,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,886","183,788",-0.186219,51.538966,POINT (-0.186219 51.538966),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240453,ABBEY ROAD,Kilburn,NW8 0AH,O/S NEWTON HOUSE,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,864","183,793",-0.186534,51.539016,POINT (-0.186534 51.539016),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240454,ABBEY ROAD,Kilburn,NW8 0SR,S/O NO. 1-22 NEWTON HOUSE,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,854","183,816",-0.18667,51.539225,POINT (-0.18667 51.539225),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240455,ABBEY ROAD,Kilburn,NW8 0AH,SOUTH SIDE OF BRIDGE,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,840","183,820",-0.18687,51.539264,POINT (-0.18687 51.539264),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240456,ABBEY ROAD,South Hampstead,NW6 4AD,NORTH SIDE OF BRIDGE,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,831","183,857",-0.186986,51.539599,POINT (-0.186986 51.539599),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240457,ABBEY ROAD,South Hampstead,NW6 4AD,S/O 129,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,821","183,876",-0.187124,51.539772,POINT (-0.187124 51.539772),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240458,ABBEY ROAD,Kilburn,NW6 4DX,BY BELSIZE ROAD,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,791","183,889",-0.187552,51.539895,POINT (-0.187552 51.539895),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240459,ABBEY ROAD,Kilburn,NW6 4BJ,OPP 1 TO 54 EMMINSTER,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,779","183,912",-0.187716,51.540105,POINT (-0.187716 51.540105),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240460,ABBEY ROAD,Kilburn,NW6 4DX,OPP. NO. 102,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,757","183,912",-0.188033,51.540109,POINT (-0.188033 51.540109),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240461,ABBEY ROAD,Kilburn,NW6 4SN,S/O NO. 102,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,750","183,933",-0.188127,51.5403,POINT (-0.188127 51.5403),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240462,ABBEY ROAD,Kilburn,NW6 4SL,CNR OR ENTRY TO HEALTH CTR,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,726","183,937",-0.188471,51.540341,POINT (-0.188471 51.540341),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240463,ABBEY ROAD,South Hampstead,NW6 4SN,O/S 126,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,714","183,961",-0.188636,51.540559,POINT (-0.188636 51.540559),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240464,ABBEY ROAD,Kilburn,NW6 4DG,S/O 39,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,694","183,960",-0.188924,51.540555,POINT (-0.188924 51.540555),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240465,ABBEY ROAD,South Hampstead,NW6 4SN,O/S CHURCH,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,686","183,982",-0.189032,51.540754,POINT (-0.189032 51.540754),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240466,ABBEY ROAD,Kilburn,NW6 4SJ,OPP. CHURCH,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,658","183,986",-0.189434,51.540796,POINT (-0.189434 51.540796),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240467,ABBEY ROAD,Kilburn,NW6 4SP,S/O NO. 53,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,628","184,009",-0.189858,51.54101,POINT (-0.189858 51.54101),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240468,ABBEY ROAD,South Hampstead,NW6 3NE,S/O 53,35/18,65,Generic LED Lighting,Lighting Column,800,No,1965 Dec 11 12:00:00 AM,"525,609","184,026",-0.190126,51.541167,POINT (-0.190126 51.541167),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240469,ABBEY ROAD,South Hampstead,NW6 4SR,O/S 136,35/18,65,Generic LED Lighting,Lighting Column,800,No,1965 Dec 11 12:00:00 AM,"525,587","184,023",-0.190444,51.541145,POINT (-0.190444 51.541145),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240470,ABBEY ROAD,Kilburn,NW6 4SS,O/S 161,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,500","184,002",-0.191705,51.540975,POINT (-0.191705 51.540975),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240471,ABBEY ROAD,South Hampstead,NW6 4ST,S/O NO. 152,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,490","184,015",-0.191845,51.541094,POINT (-0.191845 51.541094),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240472,ABBEY ROAD,South Hampstead,NW6 4SR,O/S 142,35/18,65,Generic LED Lighting,Lighting Column,800,No,1965 Dec 11 12:00:00 AM,"525,565","184,021",-0.190762,51.541132,POINT (-0.190762 51.541132),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240473,ABBEY ROAD,South Hampstead,NW6 4SR,S/O NO. 150,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,519","184,015",-0.191427,51.541088,POINT (-0.191427 51.541088),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240474,ABBEY ROAD,Kilburn,NW8 0BL,O/S 87,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,956","183,695",-0.185243,51.538115,POINT (-0.185243 51.538115),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240475,ABBEY ROAD,Kilburn,NW8 0HY,S/O AINSWORTH HOUSE,35/18,65,Generic LED Lighting,Lighting Column,800,No,,"525,976","183,701",-0.184953,51.538164,POINT (-0.184953 51.538164),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240476,ABBEY ROAD,South Hampstead,NW6 4SN,O/S CHURCH NR 134,35/18,65,Generic LED Lighting,Lighting Column,800,No,1965 Dec 11 12:00:00 AM,"525,648","184,012",-0.189569,51.541032,POINT (-0.189569 51.541032),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
252912,ABBEY ROAD,Kilburn,NW6 4SJ,"OPP CHURCH, AT J/W PRIORY RD",Continuous,15,LED Belisha Beacons (undimmed),Belisha Beacon,300,No,,"525,642","184,000",-0.189659,51.540926,POINT (-0.189659 51.540926),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
252913,ABBEY ROAD,South Hampstead,NW6 4SN,"O/S CHURCH, AT J/W PRIORY RD",Continuous,15,LED Belisha Beacons (undimmed),Belisha Beacon,300,No,1999 Feb 10 12:00:00 AM,"525,646","184,011",-0.189598,51.541024,POINT (-0.189598 51.541024),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
252914,ABBEY ROAD,Kilburn,NW8 0BL,OPP NO 84-86,Continuous,15,LED Belisha Beacons (undimmed),Belisha Beacon,300,No,,"525,897","183,763",-0.186069,51.538739,POINT (-0.186069 51.538739),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
252915,ABBEY ROAD,Kilburn,NW8 0HY,"OPP NO 83, AT J/W BOUNDARY RD",Continuous,15,LED Belisha Beacons (undimmed),Belisha Beacon,300,No,,"525,990","183,688",-0.184756,51.538044,POINT (-0.184756 51.538044),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
252916,ABBEY ROAD,Kilburn,NW8 0AG,"O/S NO 83, AT J/W BOUNDARY RD",Continuous,15,LED Belisha Beacons (undimmed),Belisha Beacon,300,No,,"525,986","183,678",-0.184817,51.537955,POINT (-0.184817 51.537955),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
252917,ABBEY ROAD,Kilburn,NW8 0SR,O/S NO 84-86,Continuous,15,LED Belisha Beacons (undimmed),Belisha Beacon,300,No,,"525,901","183,772",-0.186008,51.538819,POINT (-0.186008 51.538819),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
252918,ABBEY ROAD,Kilburn,NW8 0BL,ON C/I OPP NO 84-86,Continuous,15,LED Belisha Beacons (undimmed),Belisha Beacon,,,,"525,900","183,766",-0.186025,51.538765,POINT (-0.186025 51.538765),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241182,ABBOT'S PLACE,Kilburn,NW6 4NP,O/S 5,35/18,61,Generic LED Lighting,Lighting Column,600,No,,"525,542","183,962",-0.191114,51.540607,POINT (-0.191114 51.540607),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241183,ABBOT'S PLACE,Kilburn,NW6 4NP,OPP 1,35/18,61,Generic LED Lighting,Lighting Column,600,No,,"525,575","183,960",-0.190639,51.540581,POINT (-0.190639 51.540581),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241184,ABBOT'S PLACE,Kilburn,NW6 4NN,S/O 39,35/18,61,Generic LED Lighting,Lighting Column,600,No,,"525,601","183,943",-0.19027,51.540423,POINT (-0.19027 51.540423),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241185,ABERDARE GARDENS,South Hampstead,NW6 3PY,O/S 10,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"525,860","184,134",-0.18647,51.542082,POINT (-0.18647 51.542082),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241186,ABERDARE GARDENS,South Hampstead,NW6 3AJ,O/S 17,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"525,828","184,145",-0.186927,51.542188,POINT (-0.186927 51.542188),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241187,ABERDARE GARDENS,South Hampstead,NW6 3AL,O/S 45,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"525,992","184,158",-0.184559,51.542268,POINT (-0.184559 51.542268),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241188,ABERDARE GARDENS,South Hampstead,NW6 3PY,O/S 22,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"525,918","184,134",-0.185634,51.542069,POINT (-0.185634 51.542069),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241189,ABERDARE GARDENS,South Hampstead,NW6 3AJ,O/S 27-29,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"525,887","184,143",-0.186077,51.542156,POINT (-0.186077 51.542156),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241190,ABERDARE GARDENS,South Hampstead,NW6 3QD,O/S 54,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"526,082","184,197",-0.183247,51.542598,POINT (-0.183247 51.542598),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241191,ABERDARE GARDENS,South Hampstead,NW6 3QD,O/S 70,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"526,163","184,241",-0.182064,51.542976,POINT (-0.182064 51.542976),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241192,ABERDARE GARDENS,South Hampstead,NW6 3AN,O/S 75,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"526,129","184,234",-0.182557,51.54292,POINT (-0.182557 51.54292),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241193,ABERDARE GARDENS,South Hampstead,NW6 3AJ,O/S 5,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"525,765","184,143",-0.187836,51.542184,POINT (-0.187836 51.542184),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241194,ABERDARE GARDENS,South Hampstead,NW6 3AL,O/S 57,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"526,048","184,189",-0.18374,51.542534,POINT (-0.18374 51.542534),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241195,ABERDARE GARDENS,South Hampstead,NW6 3QA,O/S 42,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"526,023","184,165",-0.184109,51.542324,POINT (-0.184109 51.542324),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241196,ABERDARE GARDENS,South Hampstead,NW6 3AJ,O/S 37,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"525,944","184,144",-0.185255,51.542153,POINT (-0.185255 51.542153),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241197,ABERDARE GARDENS,South Hampstead,NW6 3HN,OPP 3,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"525,756","184,129",-0.18797,51.54206,POINT (-0.18797 51.54206),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241198,ABERDARE GARDENS,South Hampstead,NW6 3AJ,O/S 11-13,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"525,799","184,145",-0.187345,51.542194,POINT (-0.187345 51.542194),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241199,ABERDARE GARDENS,South Hampstead,NW6 3QD,O/S 60/62,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"526,107","184,210",-0.182882,51.54271,POINT (-0.182882 51.54271),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241200,ABERDARE GARDENS,South Hampstead,NW6 3QA,O/S 32,35/18,38,Generic LED Lighting,Lighting Column,600,Yes,,"525,974","184,142",-0.184824,51.542128,POINT (-0.184824 51.542128),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
1133,ACCESS ROAD RUNNING BETWEEN NO 99 FROGNAL TO FROGNAL RISE,Frognal,NW3 6XR,O/S 107,35/18,39,Generic LED Lighting,Lighting Column,400,Yes,2021 Aug 31 12:00:00 AM,"526,139","185,905",-0.181814,51.557935,POINT (-0.181814 51.557935),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
242312,ACCESS ROAD RUNNING BETWEEN NO 99 FROGNAL TO FROGNAL RISE,Frognal,NW3 6XR,O/S 115,35/18,39,Generic LED Lighting,Lighting Column,400,Yes,2021 Dec 31 12:00:00 AM,"526,151","185,995",-0.181609,51.558742,POINT (-0.181609 51.558742),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
242313,ACCESS ROAD RUNNING BETWEEN NO 99 FROGNAL TO FROGNAL RISE,Frognal,NW3 6XR,O/S 113,35/18,39,Generic LED Lighting,Lighting Column,400,Yes,2021 Dec 31 12:00:00 AM,"526,146","185,952",-0.181696,51.558356,POINT (-0.181696 51.558356),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240477,ACHILLES ROAD,Fortune Green,NW6 1DU,O/S 33,35/18,42,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,112","185,444",-0.196785,51.554021,POINT (-0.196785 51.554021),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240478,ACHILLES ROAD,Fortune Green,NW6 1EA,O/S 8,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,085","185,427",-0.19718,51.553874,POINT (-0.19718 51.553874),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240479,ACHILLES ROAD,Fortune Green,NW6 1DZ,O/S 21,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,067","185,395",-0.197451,51.553591,POINT (-0.197451 51.553591),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240480,ACHILLES ROAD,Fortune Green,NW6 1EA,O/S 34,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,039","185,375",-0.197861,51.553417,POINT (-0.197861 51.553417),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240481,ACHILLES ROAD,Fortune Green,NW6 1DZ,O/S 45,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,023","185,346",-0.198102,51.55316,POINT (-0.198102 51.55316),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
240482,ACHILLES ROAD,Fortune Green,NW6 1EA,O/S 56,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"524,996","185,326",-0.198499,51.552986,POINT (-0.198499 51.552986),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
262049,ACHILLES ROAD,Fortune Green,NW6 1DR,ON C/I AT J/W FORTUNE GREEN RD,Continuous,79,High Pressure Sodium,Ministry Post,500,No,1965 Dec 11 12:00:00 AM,"525,119","185,456",-0.196679,51.554127,POINT (-0.196679 51.554127),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241201,ACOL ROAD,South Hampstead,NW6 3AE,O/S ACOL COURT,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,480","184,106",-0.191956,51.541915,POINT (-0.191956 51.541915),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241202,ACOL ROAD,South Hampstead,NW6 3AG,O/S 24,35/18,29,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,515","184,121",-0.191446,51.542042,POINT (-0.191446 51.542042),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241203,ACOL ROAD,South Hampstead,NW6 3NH,OPP 2,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,652","184,132",-0.189468,51.54211,POINT (-0.189468 51.54211),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241204,ACOL ROAD,South Hampstead,NW6 4QY,OPP ACOL COURT,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,449","184,111",-0.192401,51.541966,POINT (-0.192401 51.541966),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241205,ACOL ROAD,South Hampstead,NW6 3AH,O/S 4,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,636","184,139",-0.189696,51.542176,POINT (-0.189696 51.542176),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241206,ACOL ROAD,South Hampstead,NW6 3AA,O/S 1,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,607","184,126",-0.190119,51.542066,POINT (-0.190119 51.542066),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241207,ACOL ROAD,South Hampstead,NW6 3AA,O/S 13,35/18,21,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,541","184,116",-0.191074,51.541991,POINT (-0.191074 51.541991),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
241208,ACOL ROAD,South Hampstead,NW6 3AG,O/S 14,35/18,29,Generic LED Lighting,Lighting Column,500,No,2021 Dec 31 12:00:00 AM,"525,574","184,129",-0.190593,51.5421,POINT (-0.190593 51.5421),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243685,ADAMSON ROAD,Belsize,NW3 3HS,O/S NO 35,35/18,48,Generic LED Lighting,Lighting Column,600,No,2021 Dec 31 12:00:00 AM,"526,887","184,527",-0.171526,51.545384,POINT (-0.171526 51.545384),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243686,ADAMSON ROAD,Belsize,NW3 3HR,O/S NO 16/18,35/18,48,Generic LED Lighting,Lighting Column,600,No,2021 Dec 31 12:00:00 AM,"526,853","184,480",-0.172033,51.544969,POINT (-0.172033 51.544969),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243687,ADAMSON ROAD,Belsize,NW3 3HU,O/S NO 13/15,35/18,48,Generic LED Lighting,Lighting Column,600,No,2021 Dec 31 12:00:00 AM,"526,817","184,463",-0.172558,51.544824,POINT (-0.172558 51.544824),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243688,ADAMSON ROAD,Belsize,NW3 3HP,OPP NO 9,35/18,48,Generic LED Lighting,Lighting Column,600,No,2021 Dec 31 12:00:00 AM,"526,804","184,437",-0.172755,51.544594,POINT (-0.172755 51.544594),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243689,ADAMSON ROAD,Belsize,NW3 3HX,O/S NO 3,35/18,48,Generic LED Lighting,Lighting Column,600,No,2021 Dec 31 12:00:00 AM,"526,774","184,425",-0.173192,51.544492,POINT (-0.173192 51.544492),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243690,ADAMSON ROAD,Belsize,NW3 3HX,O/S EMBASSY THEATRE L.H.S,35/18,48,Generic LED Lighting,Lighting Column,600,No,2021 Dec 31 12:00:00 AM,"526,750","184,402",-0.173546,51.544291,POINT (-0.173546 51.544291),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243691,ADAMSON ROAD,Belsize,NW3 3HR,O/S NO 24/26,35/18,48,Generic LED Lighting,Lighting Column,600,No,2021 Dec 31 12:00:00 AM,"526,876","184,501",-0.171694,51.545153,POINT (-0.171694 51.545153),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243692,ADAMSON ROAD,Primrose Hill,NW3 3EU,O/S HAMPSTEAD THEATRE,35/18,48,Generic LED Lighting,Lighting Column,,,2021 Dec 31 12:00:00 AM,"526,718","184,362",-0.174022,51.543939,POINT (-0.174022 51.543939),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243693,ADAMSON ROAD,Belsize,NW3 3HY,O/S CENTRAL SCHOOL OF SPEECH AND DRAMA,35/18,48,Generic LED Lighting,Lighting Column,,,2021 Dec 31 12:00:00 AM,"526,705","184,365",-0.174208,51.543969,POINT (-0.174208 51.543969),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243694,ADAMSON ROAD,Primrose Hill,NW3 3EU,O/S HAMPSTEAD THEATRE,35/18,48,Generic LED Lighting,Lighting Column,,,2021 Dec 31 12:00:00 AM,"526,702","184,353",-0.174256,51.543862,POINT (-0.174256 51.543862),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243695,ADAMSON ROAD,Belsize,NW3 3HY,O/S CENTRAL SCHOOL OF SPEECH AND DRAMA,35/18,48,Generic LED Lighting,Lighting Column,,,2021 Dec 31 12:00:00 AM,"526,686","184,357",-0.174485,51.543901,POINT (-0.174485 51.543901),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
243696,ADAMSON ROAD,Primrose Hill,NW3 3HF,END OF ETON AVENUE,35/18,48,Generic LED Lighting,Lighting Column,,,2021 Dec 31 12:00:00 AM,"526,683","184,341",-0.174534,51.543758,POINT (-0.174534 51.543758),Plotted by Council officer,http://opendatacommunities.org/id/london-borough-council/camden,07/03/2026 14:40
